record,section,multi,answer,correct,confidence,scorer_agrees,format_ok,method,after_text,hint,agent2_seconds,scorer_seconds,done_reason,scorer_output
SYN_01_lower_dvt_doppler_v2,F,False,"""No""",True,0.6712807665131749,True,True,details_lower_bound,False,verified,10.0,2.13,stop,DETAILS_PRESENT: yes | 2
SYN_02_dvt_ruled_out_cellulitis_v2,F,False,"""No""",True,0.6542650232316303,True,True,details_lower_bound,False,verified,8.5,1.85,stop,DETAILS_PRESENT: yes | 2
SYN_03_upper_extremity_catheter_v2,F,False,"""No""",True,0.7493318478458243,True,True,details_lower_bound,False,verified,9.0,1.97,stop,DETAILS_PRESENT: yes | 2
SYN_04_multi_imaging_confirmed_v2,F,False,"""No""",True,0.6909895848202721,True,True,details_lower_bound,False,verified,7.9,1.86,stop,DETAILS_PRESENT: yes | 2
SYN_05_absent_flow_not_pulses_trap_v2,F,False,"""No""",True,0.5660200102760173,True,True,details_lower_bound,False,verified,8.1,1.92,stop,DETAILS_PRESENT: yes | 2
SYN_06_no_imaging_clinical_only_v2,F,False,"""No""",True,0.6136134281604491,True,True,details_lower_bound,False,verified,7.3,1.87,stop,DETAILS_PRESENT: yes | 2
SYN_07_thrombectomy_positive_v2,F,False,"""No""",True,0.2118531518041856,False,True,details_lower_bound,False,verified,8.0,1.88,stop,DETAILS_PRESENT: yes | 1
SYN_08_autopsy_positive_v2,F,False,"""No""",True,0.5859769954916675,True,True,details_lower_bound,False,verified,6.8,1.72,stop,DETAILS_PRESENT: yes | 2
SYN_09_risk_factor_not_alt_diagnosis_v2,F,False,"""No""",True,0.8295398963040812,True,True,details_lower_bound,False,verified,8.8,1.84,stop,DETAILS_PRESENT: yes | 2
SYN_10_unclear_sparse_record_v2,F,False,"""No""",True,0.4681862059126176,False,True,details_exact,False,verified,9.1,1.6,stop,DETAILS_PRESENT: no | 1
SYN_11_autopsy_negative_v2,F,False,"""No""",True,0.5760439245207428,True,True,details_lower_bound,False,verified,8.3,1.73,stop,DETAILS_PRESENT: yes | 2
SYN_12_other_procedure_positive_v2,F,False,"""No""",True,0.7002152439226031,True,True,details_lower_bound,False,verified,8.0,1.88,stop,DETAILS_PRESENT: yes | 2
SYN_13_contrast_venography_only_v2,F,False,"""No""",True,0.5684799045807473,True,True,details_lower_bound,False,verified,8.2,1.75,stop,DETAILS_PRESENT: yes | 2
SYN_14_other_imaging_incidental_v2,F,False,"""No""",True,0.2920283053460053,False,True,details_lower_bound,False,verified,7.6,1.77,stop,DETAILS_PRESENT: yes | 1
SYN_15_ddimer_negative_low_probability_v2,F,False,"""No""",True,0.7065971333642144,True,True,details_lower_bound,False,verified,7.9,1.73,stop,DETAILS_PRESENT: yes | 2
SYN_16_no_dvt_syndrome_reported_v2,F,False,"""No""",True,0.8809828362649704,True,True,details_exact,False,verified,13.6,1.85,stop,DETAILS_PRESENT: no | 2
SYN_17_diagnosis_no_details_v2,F,False,"""Yes""",True,0.887972044694703,True,True,details_exact,False,verified,7.1,1.56,stop,DETAILS_PRESENT: no | 1
